Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65535e5ec41d292af5d2587d,5d45d2c3b30ae50001578172,RETURNED,2023-11-14T11:57:42.477000Z,,,,,,1201,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65535fe75b8677b8a1cca327,646a9410405d34655c5b568d,RETURNED,2023-11-14T12:04:15.722000Z,,,,,,106,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655360337c0313982a3c4c02,5627e09b69ee9a000f19d56d,RETURNED,2023-11-14T11:55:31.314000Z,,,,,,593,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655360c7dd737391a92aa695,6271745a34492fcddff68879,RETURNED,2023-11-14T12:08:00.070000Z,,,,,,738,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655361728990216f6bf650d6,654cfebe0f6f3e8d558aa8fd,TIMED-OUT,2023-11-14T12:00:56.078000Z,,,,115156.0,,12,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
655361890be39f4c41df0984,6473cd2fb003eee93e17ae6f,RETURNED,2023-11-14T12:01:18.356000Z,,,,,,139,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655361d8de8d59c40496a510,647f99680ecd4f7712a8c8f9,RETURNED,2023-11-14T12:02:55.153000Z,,,,,,188,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655361ec9bf8c9d98b50aa4b,5a15f9a0844c7a00015e5bca,RETURNED,2023-11-14T12:13:00.067000Z,,,,,,1144,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655361fbe581ddc968d9cf08,60258a30f127f411c536a660,RETURNED,2023-11-14T12:13:07.464000Z,,,,,,474,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65536209ecb83714d368fa05,58dedd9f167bc20001b4a66d,RETURNED,2023-11-14T12:03:32.460000Z,,,,,,1509,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655362387c0313982a3c4c49,62ea880dc81fd8900873de6a,RETURNED,2023-11-14T12:14:08.332000Z,,,,,,234,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65536253c41d292af5d258ec,59d66ebb8fd07a0001841f5b,RETURNED,2023-11-14T12:04:39.992000Z,,,,,,1178,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6553628373bbc321898fe6f0,593334e3568c0a00010fb4c5,RETURNED,2023-11-14T12:05:23.866000Z,,,,,,1219,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655362a2568623b45894f078,63a1d7270be2b46d12eebe83,RETURNED,2023-11-14T12:15:54.827000Z,,,,,,480,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655362aa8990216f6bf65113,6140bf6523a8f20a2ea1e417,RETURNED,2023-11-14T12:06:09.605000Z,,,,,,1224,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655362def2a36acfb4f21113,647f87dfe5161fce9adc1b97,RETURNED,2023-11-14T12:06:58.072000Z,,,,,,282,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655362fe2b1d032be495f5f3,5de7900ceb1b0a6fe754b2c6,RETURNED,2023-11-14T12:07:26.654000Z,,,,,,1734,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6553630d52e482c55d1c6e4e,62b1ee5ae17412d15ebd3097,RETURNED,2023-11-14T12:08:00.080000Z,,,,,,293,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6553631e5c6f1ce8f4d25a49,5a8f01d95292b80001235d34,RETURNED,2023-11-14T12:17:58.618000Z,,,,,,338,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
