Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
656fa3b8f0317f2bed3ea226,652cb29ab5c0687b02278965,TIMED-OUT,2023-12-05T22:30:15.859000Z,,,,178213.0,,63,57,Male,White,Ireland,Australia,Australia,English,No,Part-Time
656fa3efadcf30e184065f3d,651976e6c5133d0b924c765f,TIMED-OUT,2023-12-05T22:28:04.845000Z,,,,178344.0,,51,51,Female,White,Canada,Canada,Canada,English,No,Part-Time
656fa494b0270d43e0a74697,54247957fdf99b691fb38467,RETURNED,2023-12-05T22:31:29.591000Z,,,,,,1300,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656fa5b96403f482d8f90c3c,5caa534a19731a00190bb935,TIMED-OUT,2023-12-05T22:35:37.436000Z,,,,177892.0,,1979,56,Male,White,Canada,Canada,Canada,English,No,Full-Time
656fa6991e0401175afe7626,613e6364893dc0edb5e84806,RETURNED,2023-12-05T22:39:31.525000Z,,,,,,952,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656fa6a5e62c9665bb99687b,59e71b497f3d71000171ddb8,RETURNED,2023-12-05T22:49:33.355000Z,,,,,,1521,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656fa6b5a3c189546a585f27,6483648c280beabafcb3797e,TIMED-OUT,2023-12-05T22:39:56.679000Z,,,,177633.0,,343,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
656fa762e62c9665bb99689a,6310eda535a15a7ca2e0cfbc,RETURNED,2023-12-05T22:42:47.320000Z,,,,,,1133,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6570cfe32366edc753201785,5e67a63dd0697a04fd08ef72,RETURNED,2023-12-06T19:47:47.619000Z,,,,,,755,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6570d12012e21ad0a4986974,654a9bcb78c79c01323b0782,RETURNED,2023-12-06T19:53:04.048000Z,2023-12-06T19:54:57.051000Z,,2023-12-06T19:54:57.924000Z,,NOCODE,46,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6570d1ae772ccffacca6c6be,5c1815aac856be0001056714,RETURNED,2023-12-06T19:55:26.681000Z,,,,,,648,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6570d233117ba01906a77c49,64d51c7ab15822a1a1a60d3d,RETURNED,2023-12-06T20:07:39.655000Z,,,,,,105,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6570d27bc278b9b3fbdaa81b,5ef5f74fb4a08f2676fb3aba,RETURNED,2023-12-06T19:58:51.221000Z,,,,,,2012,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6570d32c4605282102a7337b,55f42b6a32af740005170bd0,RETURNED,2023-12-06T20:11:48.939000Z,,,,,,1530,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6570d3442366edc753201840,65494a110fecaf3485187d14,RETURNED,2023-12-06T20:02:18.423000Z,,,,,,51,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6570d34603ac2a79df94a4e9,654261c04541b631646a56f6,RETURNED,2023-12-06T20:02:20.025000Z,,,,,,66,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6570d45855549bf4232828d5,60af61311582ee3d11ecd4e9,RETURNED,2023-12-06T20:17:00.070000Z,,,,,,1146,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6570d4835886ed495a2be741,655a7071a83469926d8291b3,TIMED-OUT,2023-12-06T20:07:31.385000Z,,,,100378.0,,18,47,Female,White,Australia,Australia,Australia,English,No,Part-Time
6570d4e9e471f41d1eb44300,6400ed71298d5c65f168b743,RETURNED,2023-12-06T20:12:14.999000Z,,,,,,289,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6570d554a09ee9b164c84f7b,6393bb64b9dc37b7cc02a579,RETURNED,2023-12-06T20:21:00.341000Z,,,,,,437,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
